,retentate_flow,permeate_flow,retentate_O2,permeate_O2,stage_cut,stage,membrane,configuration,rpm,feed_flow,p_out_psia
1952,6321.063076506042,3878.9369234942737,0.11937085333849029,0.35505844351459775,0.3802879336759092,1,O,OONO,3500,10200,136.7688
1953,3088.4551357792234,3232.607940726797,0.05415621247297639,0.18167735514816646,0.5114025760542823,2,O,OONO,3500,10200,136.7688
1954,1597.3150126534367,1491.14012313363,0.022836539472303588,0.08770596505515234,0.48281100342337085,3,N,OONO,3500,10200,136.7688
1955,0.000904015450411199,1597.3149825471642,0.004595550705356147,0.022717477873502014,0.9999999811519504,4,O,OONO,3500,10200,136.7688
1956,6427.469464335395,3872.5305356647086,0.12009996479437476,0.35655268070794405,0.37597383841404936,1,O,OONO,3500,10300,136.35719999999998
1957,3197.2423461657945,3230.227118357061,0.05511433920132178,0.18442199006588475,0.5025659221379232,2,O,OONO,3500,10300,136.35719999999998
1958,1706.6563249388862,1490.5860212280961,0.023763187092328674,0.09101004809276071,0.4662098958546701,3,N,OONO,3500,10300,136.35719999999998
1959,0.0008665390776631029,1706.6563236383354,0.0049543823529149215,0.023660859456938972,0.9999999992379539,4,O,OONO,3500,10300,136.35719999999998
1960,6533.984048222387,3866.015951777686,0.12082356692340573,0.3580276849183476,0.3717323030555467,1,O,OONO,3500,10400,135.94559999999998
1961,3306.2035956474674,3227.7804526532823,0.05607144933844704,0.1871489165282275,0.4939988265706619,2,O,OONO,3500,10400,135.94559999999998
1962,1816.1735894900737,1490.0300061573994,0.024695348839638257,0.09431527316879247,0.45067702670186005,3,N,OONO,3500,10400,135.94559999999998
1963,0.0008316413840917631,1816.1735893981765,0.005328743036515892,0.024609431837804056,0.9999999999494007,4,O,OONO,3500,10400,135.94559999999998
1964,6640.605773651556,3859.3942263484983,0.12154171467882037,0.3594837185307735,0.36756135489033315,1,O,OONO,3500,10500,135.53399999999996
1965,3415.3410317531516,3225.26474193528,0.05702745016617469,0.18985803163102186,0.4856883320392866,2,O,OONO,3500,10500,135.53399999999996
1966,1925.870447466436,1489.4705842867088,0.02563275228954189,0.09762047797423822,0.43611181736722165,3,N,OONO,3500,10500,135.53399999999996
1967,0.0007726942206664974,1925.870447466434,0.005718704575742033,0.02556265710428532,0.9999999999999989,4,O,OONO,3500,10500,135.53399999999996
1968,6747.3335970483195,3852.666402951643,0.12225446229538399,0.36092103850460827,0.3634590946180795,1,O,OONO,3500,10600,135.1224
1969,3524.6542380953297,3222.6793589676713,0.05798225003275503,0.19254917605078167,0.4776226508761121,2,O,OONO,3500,10600,135.1224
1970,2035.7488312972987,1488.905406874747,0.026575124032922982,0.10092454135167761,0.4224259477092225,3,N,OONO,3500,10600,135.1224
1971,0.0006887548915242379,2035.7488312972976,0.006124311717206324,0.026519984270740316,0.9999999999999994,4,O,OONO,3500,10600,135.1224
1972,6854.16781743996,3845.8321842798487,0.12296186564440507,0.3623399425431529,0.35942356862428493,1,O,OONO,3500,10700,134.71079999999998
1973,3634.1441920279267,3220.0236254174865,0.058935767385449325,0.1952222274956219,0.46979060203696166,2,O,OONO,3500,10700,134.71079999999998
1974,2145.809095131887,1488.3350969106375,0.02752220186497754,0.10422631575949368,0.40954211453016565,3,N,OONO,3500,10700,134.71079999999998
1975,0.0005831933015545913,2145.8090925506494,0.006545583877037543,0.027480862136862592,0.9999999987970797,4,O,OONO,3500,10700,134.71079999999998
1976,6961.104277197733,3838.8957239301726,0.12366397211669115,0.3637405687424814,0.3554533077713123,1,O,OONO,3500,10800,134.29919999999998
1977,3743.807661154148,3217.296616044325,0.05988790000720904,0.19787700734409283,0.46218193090184284,2,O,OONO,3500,10800,134.29919999999998
1978,2256.051493122464,1487.7561680342296,0.02847371281216823,0.10752475418092688,0.39739118637723536,3,N,OONO,3500,10800,134.29919999999998
1979,0.0005882440821584137,2256.051361561271,0.006982511541895474,0.02844471951198147,0.9999999416851993,4,O,OONO,3500,10800,134.29919999999998
1980,7068.14392957403,3831.856071171447,0.12436083719936407,0.36512322642297795,0.3515464285478392,1,O,OONO,3500,10900,133.8876
1981,3853.6462650148906,3214.4976645596935,0.06083857540209856,0.20051342848519899,0.4547866733598645,2,O,OONO,3500,10900,133.8876
1982,2366.478614025175,1487.1676509896442,0.029429418704863566,0.11081888361893749,0.38591182187395134,3,N,OONO,3500,10900,133.8876
1983,0.0007112819061170089,2366.4782266589577,0.00743507179290762,0.029411013532301442,0.9999998363111271,4,O,OONO,3500,10900,133.8876
1984,7175.285720700409,3824.714279789394,0.1250525123063824,0.3664881502453549,0.3477012981626722,1,O,OONO,3500,11000,133.476
1985,3963.65969017412,3211.6260305266514,0.06178771314963651,0.20313138320109184,0.44759556002923206,2,O,OONO,3500,11000,133.476
1986,2477.0914715752424,1486.5682185990784,0.030389077106285987,0.11410774299013533,0.37504940756752375,3,N,OONO,3500,11000,133.476
1987,0.0012663244759071879,2477.0903990409743,0.007903210645444208,0.030379187127010814,0.9999995670187071,4,O,OONO,3500,11000,133.476
1988,7283.801329742664,3816.1986705611357,0.1257638023631904,0.36786906301150535,0.34380168203253475,1,O,OONO,3500,11100,133.0203
1989,4076.061835712233,3207.739494030338,0.06276883627512606,0.20581125558825314,0.4403936006507837,2,O,OONO,3500,11100,133.0203
1990,2590.5138866621696,1485.5479490500688,0.03138573228767779,0.11749501777438608,0.36445667630321676,3,N,OONO,3500,11100,133.0203
1991,0.0008765085582866927,2590.5130894866343,0.008403418944563989,0.03138209497143275,0.999999692271275,4,O,OONO,3500,11100,133.0203
1992,7392.423922628294,3807.576077555798,0.1264700603703565,0.369232199061663,0.33996214978176764,1,O,OONO,3500,11200,132.5646
1993,4188.650099792963,3203.7738228353437,0.06374876522557717,0.20847259041567742,0.4333861066907372,2,O,OONO,3500,11200,132.5646
1994,2704.137869596669,1484.51223035461,0.032386803601759995,0.12087664777863878,0.35441304357888154,3,N,OONO,3500,11200,132.5646
1995,0.007076060979151699,2704.130815029906,0.008920393088865868,0.03238656604956561,0.9999973911956034,4,O,OONO,3500,11200,132.5646
1996,7501.152499468033,3798.8475006366984,0.1271713313362843,0.3705777720019438,0.33618119474661046,1,O,OONO,3500,11300,132.1089
1997,4301.42427395288,3199.7282255151745,0.0647274150469348,0.21111526605716752,0.42656488129551995,2,O,OONO,3500,11300,132.1089
1998,2817.9617154056473,1483.4625585842996,0.033392044191816656,0.12425157839616419,0.34487706027218795,3,N,OONO,3500,11300,132.1089
1999,94.67540086445031,2723.286314537862,0.009497270682253594,0.03422274838874773,0.9664028789496323,4,O,OONO,3500,11300,132.1089
2000,7609.986075322492,3790.0139247442175,0.1278676597524125,0.3719059912797532,0.33245736181966823,1,O,OONO,3500,11400,131.6532
2001,4414.385991811513,3195.600085704933,0.06570470653893397,0.21373923611813073,0.41992193600295274,2,O,OONO,3500,11400,131.6532
2002,2931.99084637394,1482.3951454550388,0.034401234375298524,0.12761902954625293,0.33581004203185105,3,N,OONO,3500,11400,131.6532
2003,214.47526795042936,2717.515578419324,0.010101079845007816,0.036319082468864144,0.9268499530890888,4,O,OONO,3500,11400,131.6532
2004,7718.92367804255,3781.0763219922633,0.12855908960032242,0.3732170622079451,0.3287892453906316,1,O,OONO,3500,11500,131.1975
2005,4527.5303165988935,3191.3933625678674,0.06668055166837054,0.21634423482630566,0.41345056586661005,2,O,OONO,3500,11500,131.1975
2006,3046.2213626559173,1481.30895394318,0.035414124657172225,0.130978048270083,0.3271781413616128,3,N,OONO,3500,11500,131.1975
2007,334.40068968613684,2711.8206729722615,0.010719983814972849,0.03845921441356348,0.8902244289324722,4,O,OONO,3500,11500,131.1975
2008,7827.964346887641,3772.0356531330185,0.12924566435657345,0.37451118600162725,0.3251754873390533,1,O,OONO,3500,11600,130.74179999999998
2009,4640.86029497247,3187.104052470415,0.06765487855199033,0.21893028545801435,0.4071434042411794,2,O,OONO,3500,11600,130.74179999999998
2010,3160.657427185298,1480.2028677881208,0.03643050906989287,0.13432785788610727,0.3189501027194574,3,N,OONO,3500,11600,130.74179999999998
2011,454.4576904462706,2706.1997367372296,0.01135371758329869,0.0406417048761441,0.856214189320485,4,O,OONO,3500,11600,130.74179999999998
2012,7937.107131440277,3762.8928685709375,0.12992742699829138,0.37578855982914094,0.32161477509153313,1,O,OONO,3500,11700,130.28609999999998
2013,4754.375392503945,3182.7317392146165,0.06862761155299055,0.22149729583840538,0.4009939246765684,2,O,OONO,3500,11700,130.28609999999998
2014,3275.2997500505357,1479.0756424539575,0.03745017159020304,0.13766766492644597,0.31109778264164073,3,N,OONO,3500,11700,130.28609999999998
2015,574.6428584118804,2700.6568916391066,0.012001998795559814,0.042865006325386965,0.8245525899110263,4,O,OONO,3500,11700,130.28609999999998
2016,8046.351090914815,3753.648909091753,0.13060442001046377,0.37704937687450896,0.3181058397535384,1,O,OONO,3500,11800,129.83039999999997
2017,4868.075170496494,3178.275920544535,0.06959867748775342,0.22404518631845077,0.39499592854370297,2,O,OONO,3500,11800,129.83039999999997
2018,3390.149120177676,1477.9260503189116,0.03847290266102324,0.14099671402528297,0.30359556879401645,3,N,OONO,3500,11800,129.83039999999997
2019,694.9691635215993,2695.179956654039,0.012664553579135195,0.04512774798297003,0.7950033644870423,4,O,OONO,3500,11800,129.83039999999997
2020,8155.695293631093,3744.304706371062,0.13127668539172643,0.3782938264005645,0.31464745431689595,1,O,OONO,3500,11900,129.3747
2021,4981.959231513024,3173.736062174442,0.07056800547861611,0.2265738875217301,0.38914353073647334,2,O,OONO,3500,11900,129.3747
2022,3505.2063351776624,1476.7528963353636,0.039498498712292746,0.14431428504773797,0.2964201085778201,3,N,OONO,3500,11900,129.3747
2023,815.4363639549969,2689.7699712224276,0.013341100784037375,0.047428430891505086,0.7673642330918861,4,O,OONO,3500,11900,129.3747
2024,8265.138816689587,3734.8611833117275,0.13194426466075498,0.37952209381740964,0.31123843194264394,1,O,OONO,3500,12000,128.91899999999998
2025,5096.02718950806,3169.111627207616,0.07153552684925808,0.22908333895411814,0.38343114344411355,2,O,OONO,3500,12000,128.91899999999998
2026,3620.4735189959256,1475.553670898623,0.04052676820605115,0.14761975883048842,0.28954980341089276,3,N,OONO,3500,12000,128.91899999999998
2027,936.053040423528,2684.420478571666,0.014031369147670593,0.04976566880030591,0.7414556312833197,4,O,OONO,3500,12000,128.91899999999998
2028,8377.29603878997,3722.703961210243,0.13265724636765194,0.3807960531398985,0.30766148439754076,1,O,OONO,3500,12100,128.3751
2029,5214.833193204975,3162.4628455965935,0.072573209900485,0.23173452974359218,0.3775040097608136,2,O,OONO,3500,12100,128.3751
2030,3741.332568573797,1473.5006247723616,0.04163306461770593,0.15113263792778622,0.2825594933108043,3,N,OONO,3500,12100,128.3751
2031,1063.9037225952488,2677.428845977274,0.014785742211263385,0.05230112258612468,0.7156350837311196,4,O,OONO,3500,12100,128.3751
