,configuration,rpm,feed_flow,p_ratio,p_out_psia,O2_product_flow,O2_product_O2,N2_product_flow,N2_product_O2,theta_1,theta_2,theta_3,theta_4,min_stage_cut,max_stage_cut,O2_flow_met,O2_purity_met,N2_flow_met,N2_purity_met,product_specs_met,stage_cuts_valid,stage_cut_penalty,ideal_power_kW
73,ONOO,2500,8200,7.702,113.2194,3111.58215646311,0.3497539204287329,0.0013433483928534072,0.006555470329670669,0.3794612385930622,0.2766662458496752,0.6566740820940374,0.9999999999938735,0.2766662458496752,0.9999999999938735,False,False,False,True,False,False,0.8566740820879108,41.891884333236035
74,ONOO,2500,8300,7.678,112.86659999999999,3106.513122467644,0.35145970059839043,0.0013042931839401942,0.007061289624611199,0.374278689453933,0.2710627604274489,0.6380651864946135,0.9999999999968135,0.2710627604274489,0.9999999999968135,False,False,False,True,False,False,0.838065186491427,42.317242636334086
75,ONOO,2500,8400,7.654,112.51379999999999,3101.322910800299,0.35313710031976975,0.0012178380823239046,0.007588696700708868,0.369205108428607,0.2656608803249231,0.6204283292909477,0.9999999999978001,0.2656608803249231,0.9999999999978001,False,False,False,True,False,False,0.8204283292887478,42.74034680101181
76,ONOO,2500,8500,7.63,112.16099999999999,3096.0131768165725,0.3547866376106447,0.0010857152976784528,0.00813768227385276,0.36423684433136144,0.260449339041632,0.6036879880414282,0.9999999999999999,0.260449339041632,0.9999999999999999,False,False,False,True,False,False,0.803687988041428,43.16118886468663
77,ONOO,2500,8600,7.606,111.8082,3090.58426618281,0.35640886711453623,0.0009175812986719303,0.008708187274161042,0.3593702635096291,0.2554176485098934,0.5877768629009413,0.999999999999935,0.2554176485098934,0.999999999999935,False,False,False,True,False,False,0.7877768629008763,43.579760806091514
78,ONOO,2500,8700,7.582,111.4554,3085.040881145464,0.3580041577502579,0.0007045247685010443,0.009300089377884135,0.35460240013166255,0.2505562601759531,0.5726345673472135,0.999999999745774,0.2505562601759531,0.999999999745774,False,False,False,True,False,False,0.7726345670929875,43.9960545446373
79,ONOO,2500,8800,7.558,111.1026,3079.3825723643536,0.3595730671402891,0.0005016766501825323,0.009913242354496005,0.34992983776867653,0.24585609841064748,0.5582055494062207,0.9999999922153506,0.24585609841064748,0.9999999922153506,False,False,False,True,False,False,0.7582055416215713,44.41006193976569
80,ONOO,2500,8900,7.534,110.7498,3073.6109754894032,0.3611160572575416,0.0005671724951500229,0.01054744466708003,0.34534954780779814,0.24130846146947546,0.5444403377644075,0.9999998540492941,0.24130846146947546,0.9999998540492941,False,False,False,True,False,False,0.7444401918137016,44.82177479029314
81,ONOO,2500,9000,7.51,110.39699999999999,3067.7276718327735,0.3626335790809309,0.0006543849783206268,0.011202417969511822,0.3408586302036415,0.2369064009026203,0.5312934018982444,0.9999997350830931,0.2369064009026203,0.9999997350830931,False,False,False,True,False,False,0.7312931369813375,45.2311848337454
82,ONOO,2500,9100,7.482,109.9854,3060.020787434372,0.3641750893772025,12.271530720585528,0.01192235528920111,0.33626602059718375,0.2324641046300483,0.5182081544220333,0.9945057913813676,0.2324641046300483,0.9945057913813676,False,False,False,True,False,False,0.7127139458034009,45.622350863846535
